spec_mz_index,oli_mass_index,delta_ppm
17,109,1.4487292936454534
38,118,1.6757181327443118
41,119,1.721577230791841
49,120,1.7407238220886063
50,121,1.3234714637210567
52,122,1.3872277502309633
54,123,1.3735928217853486
62,124,1.0423222553762062
63,125,1.283303733109516
68,126,1.178505252098777
94,127,1.5580814230906235
98,128,0.04606337873180773
100,129,0.9121390836073395
103,130,1.2162156656667138
108,131,0.9660182081319868
114,132,1.0666407636562263
118,133,1.0001454368018834
119,134,1.0375558811457326
