spec_mz_index,oli_mass_index,delta_ppm
1,135,1.5164090785783515
3,141,1.4280373973659262
14,163,2.100181266943538
39,190,2.2605188950173702
43,193,2.177693646685156
55,197,2.145357790672314
56,201,1.8152253837621923
57,205,1.6817598664239841
58,209,1.9626972812246475
67,215,1.502881731816504
70,216,1.543756123372234
77,218,2.780507482366163
84,222,5.419926691764278
114,231,1.3792449807135767
118,235,1.9467275322510613
121,238,2.226066356324217
135,241,1.623153503546525
137,242,1.5289656849497535
157,246,0.9726106008199963
