spec_mz_index,oli_mass_index,delta_ppm
1,122,1.4292102100774258
2,124,2.5765785491376914
4,126,2.0080646260486
26,138,1.294512516776733
63,148,2.1453577893305997
66,153,1.6817598653078352
71,154,1.3735699211867216
77,159,3.109981334542007
82,160,1.4137412199700434
84,161,1.6305735553828478
94,162,2.697743418263286
119,163,1.5691865832923484
123,164,3.127686775657515
128,165,1.2457861968288169
133,166,1.554213825688521
137,167,0.8915553871922369
140,168,1.8310971049794456
149,169,1.5005946002974981
150,170,1.7696560239372496
155,171,1.645755743296723
167,173,0.9578322625961819
