spec_mz_index,oli_mass_index,delta_ppm
16,110,0.9552058265578247
34,118,2.147331703734356
37,119,2.177693646477738
47,120,1.8418823448378807
49,121,1.6185238735594625
50,122,1.583582513389232
51,123,1.7557147121909973
60,124,1.4137412204767494
62,125,1.4569386746420587
81,126,1.4197597768649877
100,127,1.9123090628649737
103,128,0.15547027458546334
105,129,1.1123273784594494
108,130,1.6850517622784829
114,131,1.342938557376697
120,132,1.2516128943290095
124,133,1.2452634572035612
125,134,1.5289656846077113
