spec_mz_index,oli_mass_index,delta_ppm
2,105,0.9060166962405428
5,107,1.593759530735452
32,112,1.6976681405369187
50,118,1.902092702138204
55,119,2.06822574465179
64,120,2.14535778990562
67,121,1.5201730896257823
68,122,1.583582513389232
69,123,1.6601842669678388
79,124,1.3246006940894177
81,125,1.3701212114953212
100,126,1.3435331521241063
112,127,0.8591805161513401
116,128,0.6993938756706048
121,129,1.1790567922233903
124,130,1.619632798387105
128,131,2.062871423934663
130,132,2.656484178420486
139,133,1.30654294358613
140,134,1.6493108688694784
